# Correspondances ticker → ISIN du catalogue Seedow.
#
# Chaque ligne DOIT porter sa source : un identifiant sans origine n'est pas
# vérifiable, et le script la refuse. Un ISIN ne se dérive ni du ticker ni du
# nom — il se lit sur une fiche produit, un KID, ou un référentiel.
#
# Où les trouver, par ordre de fiabilité :
#   1. la page produit de l'émetteur (iShares, Amundi, Xtrackers…) ;
#   2. le KID/DIC du fonds, qui porte l'ISIN en première page ;
#   3. un référentiel de place.
#
# La clé de contrôle est vérifiée avant écriture : une faute de frappe ou un
# identifiant fabriqué est rejeté, pas corrigé.
#
# Format : ticker,isin,source
ticker,isin,source

# Les treize lignes ci-dessous viennent du screener produit officiel de
# BlackRock, pas d'une saisie : ticker, ISIN et identifiant produit sont ceux
# que l'émetteur publie. Chaque fonds a ensuite rendu un classeur de
# composition daté, ce qui confirme la correspondance de bout en bout.
BGRN,US46435U4408,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
CRBN,US46434V4648,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
DSI,US4642885705,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
EAGG,US46435U5496,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
ESGD,US46435G5163,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
ESGE,US46434G8630,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
ESGU,US46435G4257,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
ICLN,US4642882249,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
SUSA,US4642888022,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
SUSB,US46435G2434,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
SUSC,US46435G1931,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
SUSL,US46435U2188,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
WOOD,US4642881746,BlackRock iShares US product screener (product-screener-v3.1.jsn) — relevé le 2026-08-27
